,id,label,alma,field,award,occupation
277,Q7328227,Richard P. Gabriel,"'Northeastern University', 'Stanford University', 'Massachusetts Institute of Technology', 'University of Illinois system'",,"'ACM Fellow', 'ACM - AAAI Allen Newell Award'",artificial intelligence researcher
278,Q7346644,"Robert L. Simpson, Jr.",,,,artificial intelligence researcher
279,Q7365183,Ronald R. Yager,'New York University Tandon School of Engineering',,"'IEEE Fellow', 'IEEE Frank Rosenblatt Award'",artificial intelligence researcher
280,Q7610052,Stephen Muggleton,'University of Edinburgh',,"'Fellow of the Royal Academy of Engineering', 'AAAI Fellow'",artificial intelligence researcher
281,Q7613510,Steve Omohundro,"'Stanford University', 'University of California, Berkeley'",'artificial intelligence',,artificial intelligence researcher
282,Q7620527,Stott Parker,"'Princeton University', 'University of Illinois at Urbana–Champaign'",,,artificial intelligence researcher
283,Q8445929,Category:Fellows of the SSAISB,,,,artificial intelligence researcher
284,Q27839507,Robert Tienwen Chien,'National Taiwan University',,,artificial intelligence researcher
285,Q21712134,Ilya Sutskever,"'Stanford University', 'University of Toronto', 'Open University of Israel'",'machine learning',,artificial intelligence researcher
286,Q13541959,Herbert Gelernter,'University of Rochester',,,artificial intelligence researcher
287,Q15994776,Austin Tate,"'University of Edinburgh', 'University of Lancaster'",'artificial intelligence',"'Fellow of the British Computer Society', 'Fellow of the Royal Academy of Engineering', 'AAAI Fellow'",artificial intelligence researcher
288,Q16728975,David Ferrucci,"'Rensselaer Polytechnic Institute', 'Manhattan College'",,,artificial intelligence researcher
289,Q16976397,Joshua B. Tenenbaum,"'Massachusetts Institute of Technology', 'Yale University'",,"'MacArthur Fellows Program', 'Fellow of the Cognitive Science Society', 'Fellow of the Society of Experimental Psychologists', 'William K. Estes Early Career Award'",artificial intelligence researcher
290,Q17517256,Radhika Nagpal,'Massachusetts Institute of Technology','computer science',"'AAAI Fellow', ""Nature's 10""",artificial intelligence researcher
291,Q26702597,Richard S. Zemel,"'Harvard University', 'University of Toronto'",'mathematics',,artificial intelligence researcher
292,Q26703063,Ian J. Goodfellow,"'Stanford University', 'Université de Montréal', 'San Dieguito Academy'",'deep learning',,artificial intelligence researcher
293,Q18209599,François Pachet,"'École des Ponts ParisTech', 'Pierre and Marie Curie University'",,,artificial intelligence researcher
294,Q19609665,Jean-Christophe Baillie,'École polytechnique',,,artificial intelligence researcher
295,Q22095352,Kim Binsted,"'University of Edinburgh', 'McGill University'",,,artificial intelligence researcher
